Model,RMSE,MAE,MAPE,R2,Type
Lasso Regression,13.7586648225143,9.32962509809194,0.6194024560648275,0.9977317715924504,Baseline
Ridge Regression,13.77140826692304,9.395665110595852,0.6239225063757071,0.9977275679245664,Baseline
Linear Regression,13.772211646922242,9.395667953813362,0.6239184514824921,0.9977273027839656,Baseline
Decision Tree,46.175790253928646,29.049826689774697,1.7779076865624257,0.9744516488321852,Baseline
Random Forest,50.76300100641033,28.22648819312183,1.636073071077894,0.9691234490880654,Baseline
Bagging,51.38890409231707,28.577915077989648,1.6543635841364888,0.9683573450228674,Advanced
AdaBoost,53.11809955522446,32.494891316704944,1.9786177525812203,0.9661920170465454,Advanced
Gradient Boosting,60.8685261589847,36.15810225856384,2.0981607530144313,0.955606460190855,Baseline
Extra Trees,64.08043447315812,36.307389890157374,2.0744656385667746,0.9507977346419278,Advanced
SVR,120.2203432013735,68.04255257159183,3.796271736396395,0.8268230324866717,Advanced
